State Agency or Indian Tribal Organization,"Cumulative Cost:
 October-September"
Connecticut,12113786.0
Maine,5095547.0
Massachusetts,24672286.0
New Hampshire,4033109.0
New York,108621754.0
Rhode Island,5876413.0
Vermont,4175866.0
"Indian Township, ME",37269.0
"Pleasant Point, ME",35018.0
"Seneca Nation, NY",55024.0
Delaware,4582581.0
District of Columbia,5123352.0
Maryland,30151699.0
New Jersey,30850575.0
Pennsylvania,57166396.0
Puerto Rico,42304231.0
Virginia,33808792.0
Virgin Islands,1990993.0
West Virginia,11347056.0
Alabama,31083991.0
Florida,96090643.0
Georgia,69442596.0
Kentucky,33933092.0
Mississippi,20285815.0
North Carolina,57148056.0
South Carolina,25584384.0
Tennessee,39832380.0
"Choctaw Indians, MS",404038.0
"Eastern Cherokee, NC",371791.0
Illinois,53761574.0
Indiana,30152917.0
Michigan,56524342.0
Minnesota,30353785.0
Ohio,51227090.0
Wisconsin,28108360.0
Arkansas,18755925.0
Louisiana,29513281.0
New Mexico,13158757.0
Oklahoma,20599360.0
Texas,
Texas,178674130.0
"Acoma, Canoncito & Laguna, NM",200412.0
"Eight Northern Pueblos, NM",168935.0
"Five Sandoval Pueblos, NM",192723.0
"Isleta Pueblo, NM",319088.0
"San Felipe Pueblo, NM",202192.0
"Santo Domingo Tribe, NM",100159.0
"Zuni Pueblo, NM",233917.0
"Cherokee Nation, OK",2236757.0
"Chickasaw Nation, OK",2166361.0
"Choctaw Nation, OK",1187046.0
"Citizen Potawatomi Nation, OK",984190.0
"Inter-Tribal Council, OK",307495.0
"Muscogee Creek Nation, OK",942203.0
"Osage Tribal Council, OK",945834.0
"Otoe-Missouria Tribe, OK",270893.0
"Wichita, Caddo & Delaware (WCD), OK",4269242.0
Colorado,22270916.0
Iowa,14163511.0
Kansas,15443140.0
Missouri,29944740.0
Montana,5448503.0
Nebraska,9975501.0
North Dakota,3322863.0
South Dakota,5351969.0
Utah,14954828.0
Wyoming,3836192.0
"Ute Mountain Ute Tribe, CO",209961.0
"Omaha Sioux, NE",189784.0
"Santee Sioux, NE",103808.0
"Winnebago Tribe, NE",116727.0
"Standing Rock Sioux Tribe, ND",752768.0
"Three Affiliated Tribes, ND",284443.0
"Cheyenne River Sioux, SD",350700.0
"Rosebud Sioux, SD",562462.0
"Northern Arapahoe, WY",342574.0
"Shoshone Tribe, WY",143806.0
Mountain Plains,127769196.0
Alaska,7411196.0
American Samoa,1932787.0
Arizona,38880376.0
California,304653565.0
Guam,2491963.0
Hawaii,10366657.0
Idaho,9569285.0
Nevada,14102600.0
Oregon,23690633.0
Washington,50671500.0
Northern Marianas,1184670.0
"Inter-Tribal Council, AZ",3188297.0
"Navajo Nation, AZ",3291062.0
"Inter-Tribal Council, NV",609464.0
